ID,F1,F5,F2,F1_1,F2_1,F6,F4,F3,F5_1,F1_2,F2_2,F6_1,F2_3,F4_1,F2_4,F5_2,F2_5,F6_2,F1_3,F2_6,F5_3,F4_2,F2_7,F3_1,F2_8,F5_4,F3_2,F1_4,F3_3,F1_5,F5_5,F6_3,F1_6,F5_6,F2_9,F3_4,F4_3,F2_10,F1_7,F6_4,F4_4,F5_7,F3_5,F2_11
1,4,2,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,4,2,2,4,4,4,2,3,4,4,4,4,4,4,4
2,4,2,4,4,4,2,4,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,3,3,2,4,2,4,4,3,4,4,2,3,4,3,4
3,5,3,4,5,5,2,4,4,4,5,4,3,4,3,4,2,5,4,5,4,4,4,,2,4,4,4,2,4,5,2,2,5,2,4,4,3,4,4,4,4,5,1,4
4,4,4,5,4,5,3,3,2,4,5,5,4,4,3,5,2,5,4,4,5,4,4,4,2,4,4,2,3,2,4,2,4,5,2,4,2,4,4,3,3,3,4,2,4
5,5,1,3,5,4,1,5,4,3,5,4,4,2,3,4,1,5,5,5,5,5,4,4,4,4,3,4,4,4,4,1,3,5,1,4,4,3,4,4,4,4,5,2,4
6,5,3,5,4,4,1,4,4,5,5,5,5,4,2,4,1,4,4,4,4,5,5,2,4,5,5,2,4,4,5,1,1,5,1,5,4,1,5,4,1,5,4,2,4
7,5,3,4,5,5,1,4,4,3,5,4,5,4,3,5,3,5,5,5,5,3,4,4,3,5,4,4,4,3,4,1,2,5,3,5,4,2,5,3,3,4,5,4,5
8,5,3,4,5,4,4,5,3,3,5,4,4,4,2,4,1,4,5,5,4,4,4,4,3,4,4,4,5,4,5,3,4,5,3,5,3,3,4,4,3,5,4,1,4
9,5,3,4,5,4,2,4,3,4,4,4,3,5,2,4,4,4,5,5,4,5,5,4,3,5,4,4,4,4,4,3,2,4,2,5,4,2,5,5,3,5,5,3,4
10,5,1,5,4,5,1,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,4,4,4,5,5,5,3,5,4,1,1,5,1,5,4,3,4,4,3,4,5,5,5
11,4,2,4,4,4,3,4,4,3,4,4,4,4,2,4,1,5,5,4,5,2,4,4,3,4,3,4,4,2,4,1,2,5,2,2,3,2,4,4,2,3,5,4,4
12,5,4,4,5,5,1,5,5,5,5,5,5,5,2,4,3,5,5,5,5,5,5,5,4,4,5,5,4,5,5,3,4,5,5,5,4,3,4,4,4,5,5,5,5
13,4,2,4,5,4,2,3,3,4,4,4,4,3,3,4,2,4,4,4,4,3,4,4,3,4,3,3,4,4,3,1,2,3,1,4,3,3,3,3,4,3,5,2,3
14,4,2,4,4,5,3,4,4,4,4,4,4,4,3,5,2,5,5,4,5,4,4,4,4,4,3,4,3,4,4,2,3,4,2,4,4,3,4,3,3,4,4,3,4
15,4,2,5,3,4,1,4,3,3,5,5,5,3,2,5,3,5,5,3,4,3,4,3,2,4,3,3,3,4,4,1,2,5,1,4,2,3,4,3,2,4,4,3,3
16,3,4,5,4,5,4,5,5,5,4,5,4,4,2,4,2,5,2,3,5,4,5,4,4,5,5,5,4,4,4,2,4,5,3,4,4,2,4,3,5,5,4,4,4
17,4,3,5,5,5,2,4,3,3,4,4,5,5,3,5,2,5,5,4,4,4,4,4,3,5,3,3,3,3,4,2,2,5,2,4,3,3,5,3,3,4,4,3,4
18,4,4,2,5,4,1,3,1,3,5,3,5,5,5,5,4,5,5,4,5,1,3,4,1,4,3,1,3,1,3,3,1,5,3,5,1,3,4,4,3,4,5,1,5
19,4,1,5,5,5,2,5,4,4,5,5,5,5,2,4,1,4,5,4,5,5,4,4,4,5,5,4,4,4,5,1,1,5,1,5,4,4,4,4,4,4,5,1,4
20,3,4,,4,4,4,3,4,3,5,4,4,3,3,4,2,4,4,4,4,3,3,3,3,4,3,3,3,3,4,2,2,4,2,3,3,3,4,4,4,4,4,1,4
21,3,4,5,4,5,4,4,4,4,5,5,4,5,2,5,3,5,5,3,5,4,5,5,4,5,4,4,4,4,4,4,2,5,4,5,4,3,5,4,4,5,5,2,5
22,5,2,4,4,5,4,4,2,4,4,4,4,5,3,5,2,4,4,5,5,4,4,4,2,5,4,2,4,2,5,1,2,4,2,5,2,3,5,5,3,4,4,2,4
23,3,2,5,4,4,2,5,5,4,5,5,4,2,4,5,2,5,5,4,4,5,3,4,4,5,4,4,3,4,3,1,1,5,2,4,4,4,4,3,3,4,5,1,4
24,5,3,4,5,5,2,4,4,3,5,4,5,4,2,4,2,5,5,5,4,4,5,4,2,5,3,4,4,4,3,1,1,5,4,4,2,3,4,2,4,4,4,1,4
25,5,4,5,5,5,3,4,4,3,4,4,4,4,4,4,3,5,5,5,5,3,4,4,4,4,3,4,4,5,5,3,3,5,3,4,4,3,4,5,3,4,4,3,5
26,4,4,4,4,4,2,4,3,3,4,4,4,4,4,4,2,4,4,4,4,4,4,,3,4,3,3,3,3,3,2,3,4,3,4,2,3,4,3,4,3,4,2,4
27,4,4,4,4,4,4,5,3,5,5,5,4,5,2,3,1,5,5,5,5,4,4,4,4,4,4,3,2,3,4,3,2,5,3,5,4,4,4,3,2,4,5,3,3
28,3,2,4,3,5,2,2,4,3,4,4,4,3,5,4,3,5,5,4,5,3,2,5,4,4,3,3,4,3,2,2,4,4,3,4,4,4,4,3,3,4,4,2,3
29,3,5,4,4,4,2,4,3,3,4,5,4,5,4,5,3,5,4,5,5,3,4,3,3,4,3,2,4,3,2,,3,4,2,4,3,4,4,3,3,5,5,2,5
30,4,1,4,4,4,3,4,3,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,3,4,3,3,3,3,4,2,4,4,3,4,3,3,3,4,4,4,4,3,4
31,5,2,5,5,4,2,5,4,4,5,5,5,5,2,5,1,5,5,5,5,4,4,4,4,5,4,4,4,4,4,1,1,5,2,5,3,4,4,3,3,5,5,3,5
32,4,2,5,4,4,2,4,3,4,5,5,5,2,3,4,5,5,5,4,5,2,3,5,4,5,4,3,4,3,4,1,1,5,1,5,4,4,2,4,4,3,5,2,3
33,3,2,4,4,4,2,4,4,4,5,4,5,5,4,5,2,5,4,4,5,2,4,4,3,4,2,3,3,3,3,2,2,4,2,4,3,4,4,3,2,4,4,2,4
34,5,4,5,5,5,2,5,3,3,5,5,4,5,2,5,1,5,5,5,5,5,5,4,3,4,3,3,4,3,5,1,2,5,1,5,3,1,4,4,2,5,5,1,5
35,4,3,5,4,5,2,3,3,3,4,4,5,4,2,4,2,4,4,4,4,4,4,4,2,4,3,3,4,4,4,3,3,4,2,4,2,2,5,3,3,5,3,3,5
36,2,1,5,3,4,2,3,2,3,4,5,5,2,1,3,1,4,5,3,4,4,5,3,1,4,2,2,3,2,3,1,3,5,1,4,3,2,5,2,4,5,5,4,4
37,5,2,5,5,5,2,3,3,3,5,5,5,5,2,4,3,5,5,5,5,2,5,5,2,4,3,3,4,3,4,1,2,4,1,4,3,2,4,4,1,5,5,2,4
38,3,4,4,5,5,4,3,2,4,3,3,4,4,4,4,3,5,5,3,5,4,3,,2,4,5,1,2,1,3,2,3,3,2,4,2,4,3,3,4,2,3,2,2
39,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,3,4,3,3,4,3,4,4,3,4,2,2,2,2,3,2,3,4,3,3,3,3,4,2,4,4,4,2,4
40,5,3,,5,4,2,5,4,4,5,5,5,4,3,4,3,5,5,5,5,3,4,4,3,5,2,2,5,2,4,1,2,4,1,5,2,2,5,3,4,5,4,4,5
41,3,4,4,3,4,4,3,3,3,4,4,3,3,5,4,3,4,3,3,4,2,3,3,2,3,2,3,2,3,3,2,4,3,5,4,3,4,4,3,4,3,3,3,3
42,5,3,5,4,5,2,4,4,4,4,5,5,5,3,5,1,4,5,5,4,5,3,4,4,4,4,4,3,4,4,1,5,5,2,4,4,3,3,4,3,4,5,3,4
43,5,4,5,5,5,2,5,3,4,5,5,5,4,3,5,2,5,5,5,5,4,4,5,2,4,4,2,4,1,5,1,1,5,2,4,2,4,5,2,2,2,5,4,4
44,4,2,4,4,4,1,4,4,4,5,5,4,4,2,5,2,5,4,5,5,4,4,5,2,4,3,4,3,4,4,2,1,5,1,5,4,4,4,2,4,4,5,2,4
45,5,3,5,5,5,2,4,3,4,5,4,5,5,3,5,2,5,5,5,5,5,5,4,2,5,4,3,4,3,5,2,2,5,2,5,3,2,5,4,4,5,4,3,5
46,3,3,5,3,4,2,4,4,3,4,5,3,4,3,5,1,5,5,3,5,4,3,5,4,5,3,4,3,4,3,1,1,4,1,5,4,2,4,3,3,5,5,3,5
47,3,2,5,3,4,1,5,4,3,4,5,3,4,3,4,2,4,4,4,4,3,3,4,2,4,3,4,3,4,3,2,2,4,4,5,4,3,4,3,3,3,3,3,4
48,5,2,5,5,4,2,4,4,5,5,4,4,5,3,5,2,5,5,5,5,5,3,4,2,4,5,5,4,4,4,1,3,4,2,5,2,3,4,4,3,3,5,3,4
49,4,4,4,4,4,2,4,3,3,4,4,4,5,2,4,1,4,4,4,4,3,4,4,2,4,3,3,4,3,4,2,2,4,2,4,3,3,4,4,2,4,4,3,4
50,4,2,4,4,5,2,4,4,4,4,4,4,5,2,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4,4,3,3,4,4,4,4,2,4
51,4,3,5,4,4,1,5,4,3,5,5,5,4,4,4,1,4,5,5,5,2,4,4,4,4,3,4,4,4,4,1,2,5,3,5,4,4,4,3,2,4,5,4,4
52,4,2,4,4,5,2,4,3,3,4,4,4,4,2,4,2,4,5,4,5,4,4,5,4,4,3,3,4,3,4,2,2,4,2,4,3,2,4,4,4,4,4,2,4
53,5,1,5,5,4,2,5,4,3,5,5,4,3,4,5,1,5,5,5,5,3,4,4,4,5,3,4,4,4,5,1,1,5,1,5,4,4,5,5,2,5,5,2,5
54,5,2,5,5,5,2,4,5,5,5,5,5,5,3,5,2,5,5,5,5,5,4,5,4,5,5,4,4,5,5,1,2,5,1,5,4,2,4,4,2,4,5,3,4
55,4,3,4,4,4,2,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,2,4,4,4,4,3,4,4,4,4,4,4,4
56,4,3,4,5,4,4,5,4,3,4,5,4,5,5,4,2,4,4,5,4,3,4,4,2,5,3,3,3,2,5,2,2,4,3,4,2,3,4,5,4,4,3,1,4
57,5,1,5,5,5,2,5,4,4,5,5,5,5,1,5,1,5,5,5,5,4,5,,4,5,3,4,4,4,5,2,4,5,4,5,4,2,5,5,4,5,5,1,5
